,majority,majority_loser,condorcet_winner,condorcet_loser,drummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,count_viols
Neural Network,0,0,1,0,0,0,0,0,0
Random Choice,0,0,3177,804,0,0,0,0,0
Borda ranking,0,0,378,0,0,0,0,0,0
Plurality ranking,0,0,2797,701,0,0,0,0,0
Approval Voting (AV),0,0,0,0,0,0,0,0,0
Proportional Approval Voting (PAV),0,0,0,0,0,0,0,0,0
Approval Chamberlin-Courant (CC),0,0,1882,0,0,0,0,0,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,0,0,0,0,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,1850,0,0,0,0,0,0
Monroe's Approval Rule (Monroe),0,0,1882,0,0,0,0,0,0
Greedy Monroe,0,0,1180,0,0,0,0,0,0
Minimax Approval Voting (MAV),0,0,1882,0,0,0,0,0,0
